"Pallisentis__(Pallisentis)_nagpurensis"	"Ergasilus_sp."	"Myxobolus_sp."	"Centrocestus_formosanus"	"Dactylogyrus_sp."	"Henneguya_sp."	"Thaparocleidus_sp."	"Philometra_sp."	"Contracaecum_rudolphii"	"Lernaea_cyprinacea"	"Proteocephalus_sp."	"Procamallanus_sp."	"Masenia_collata"	"Eudiplozoon_nipponicum"	"Spectatus__sp."	"Lamproglena_chinensis"	"Zschokkella_parasiluri"	"Henneguya_shaharini"	"Prosorhynchoides_gracilescens"	"Gyrodactylus_fusci"	"Quadriacanthus_kobiensis"	"Lytocestus_parvulus"	"Senga_parva"	"Senga_sp."	"Proteocephalus_gobiorum"	"Proteocephalus_osculatus"	"Cucullanus_cyprini"	"Caspiobdella_fadejewi"	"Argulus_sp."	"Henneguya_schizura"	"Myxobolus_clarii"	"Myxobolus_koi"	"Myxobolus_minutus"	"Myxobolus_semeniformis"	"Orientocreadium_batrachoides"	"Bacciger_bacciger"	"Gyrodactylus_ophiocephali"	"Gyrodactylus_squaliobarbi"	"Cichlidogyrus_sclerosus"	"Cichlidogyrus_tilapiae"	"Heteronchocleidus_sp."	"Thaparocleidus_caecus"	"Thaparocleidus_pangasi"	"Lytocestus_adhaerens"	"Caryphyllaeidae_gen._sp."	"Senga_ophicephaliana"	"Paraproteocephalus_parasiluri"	"Proteocephalus_sagittus"	"Dichelyne_(Cucullanellus)_minutus"	"Pingus_sinensis"	"Procamallanus_(Procamallanus)_glossogobii"	"Spinitectus_clariasi"	"Spinitectus_ophicephali"	"Acanthocephalorhynchoides_ussuriensis"	"Pallisentis_sp."	"Argulus_chinensis"	"Lernaea_lophiara"	"Lernaea_sp."	"Ergasilus_philippinensis"	"Zschokkella_sp"	"Ceratomyxa_sp."	"Myxobilatus__sp."	"Henneguya_ophiocephali"	"Henneguya_schulmani"	"Myxobolus_cheisini"	"Myxobolus_exiguus"	"Myxobolus_macrocapsularis"	"Myxobolus_miyairii"	"Myxobolus_oblongus"	"Myxobolus_poljanskii"	"Thelohanellus_catlae"	"Clinostomum_complanatum"	"Clinostomum_piscidium"	"Euclinostomum_multicaecum"	"Azygia_hwangtsiyui"	"Singhia_kruinensis"	"Allocreadium_isoporum"	"Coitocaecum_plagiorchi"	"Plagioporus_myoxocephalus"	"Apophallus_sp."	"Orientocreadium_siluri"	"Gyrodactylus_niloticus"	"Ancyrocephalus_sp."	"Bychowskyella_tchangi"	"Cichlidogyrus_sp."	"Cornudiscoides_malayensis"	"Dactylogyrus_kalyanensis"	"Dactylogyrus_labei"	"Dactylogyrus_viticulus"	"Dactylogyrus_yogendrai"	"Ligophorus_macrocolpos"	"Malayanodiscoides_bihamuli"	"Pseudodactylogyrus_sp"	"Thaparocleidus_notopterus"	"Thaparocleidus_sudhakari"	"Thaparocleidus_wallagonius"	"Trianchoratus_gussevi"	"Trianchoratus_ophicephali"	"Trianchoratus_pahangensis"	"Trianchoratus_trichogasterium"	"Dactylogyridae_gen._sp."	"Sundanonchus_foliaceus"	"Sundanonchus_micropeltis"	"Sundanonchus_triradicatus"	"Sundanonchus_sp."	"Caryophyllaeus_fimbriceps"	"Paracaryophyllaeus_gotoi"	"Paraseuratum_sp."	"Camallanus_(Zeylanema)_anabantis"	"Camallanus__(Camallanus)_hampalae"	"Neocamallanus_maculati"	"Neocamallanus_ophicephali"	"Neocamallanus_trichogasterae"	"Procamallanus_(Procamallanus)_malaccensis"	"Gnathostoma_hispidum"	"Spinitectus_notopteri"	"Pseudorhadinorhynchus_vietnamensis"	"Pallisentis_(Demidueterospinus)_ophiocephali"	"Dendronucleata_dogieli"	"Piscicola_geometra"	"Argulus_japonicus"	"Lamproglena_sp."	"Ergasilus_thailandensis"	"Caligus_sp."	"Corallana_grandiventra"
"Aristichthys_nobilis"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bunaka_gyrinoides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Carassius_auratus_auratus"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenopharyngodon_idellus"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyprinus_carpio"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyprinus_rubrofuscus"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hypophthalmichthys_harmandi"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Labiobarbus_leptocheila"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mugil_cephalus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Osteochilus_melanopleurus"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pangasius_sp."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pristolepis_fasciata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Puntiorplites_proctozysron"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Puntius_brevis"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
