"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.025	0	0	0	0	0	0	0	0	0.025	0.025
"R14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0
"R15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0
"R16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
"R17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0
"R18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.05	0	0	0	0
"R19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0.02	0.02	0	0	0.02	0	0	0	0
"R20"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"R21"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"R22"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"R23"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.05	0	0	0	0
"R24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0.05	0	0	0	0
"R25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
"C1"	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0	0	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0.00476190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0
"C2"	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C3"	0.0125	0	0.0125	0	0	0	0	0	0	0.0125	0.0125	0.0125	0	0.0125	0.0125	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C4"	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0	0	0	0	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0	0.00909090909090909	0.00909090909090909	0	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C5"	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C6"	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0.00833333333333333	0	0.00833333333333333	0	0.00833333333333333	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C7"	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0.00769230769230769	0	0.00769230769230769	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C8"	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0
"C9"	0.01	0.01	0.01	0	0	0	0.01	0.01	0.01	0.01	0	0.01	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C10"	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0.00666666666666667	0	0.00666666666666667	0.00666666666666667	0	0.00666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C11"	0.00909090909090909	0	0	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C12"	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
