File	N.modules	Modularity
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.079861	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.244898	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.179688	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.079861	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.079861	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.035503	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.179688	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.035503	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.179688	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.179688	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.079861	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.244898	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.244898	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.179688	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.179688	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.079861	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.079861	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.179688	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.489796	
M_M_PA_001_GC1.txt	2	0.408163	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.079861	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.222222	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.244898	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.195000	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.179688	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.271605	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.304688	
M_M_PA_001_GC1.txt	2	0.132231	
M_M_PA_001_GC1.txt	2	0.367188	
M_M_PA_001_GC1.txt	2	0.132231	
