"Bouteloua_gracilis"	"Buchloe_dactyloides"	"Croton_pottsii"	"Leptaloma_cognata"	"Iva_dealbata"	"Scleropogon_brevifolius"	"Unidentified_sp4_A_PH_004"	"Convolvulus_equitans"	"Unidentified_sp5_A_PH_004"	"Unidentified_sp1_A_PH_004"	"Xanthocephalum_texanum"	"Bouteloua_hirsuta"	"Muhlenbergia_sp1_A_PH_004"	"Ratibida_columnaris"	"Unidentified_sp3_A_PH_004"	"Unidentified_sp6_A_PH_004"	"Unidentified_sp8_A_PH_004"	"Condalia_ericoides"	"Conyza_coulteri"	"Eragrostis_intermedia"	"Linum_rigidum"	"Sporobolus_sp1_A_PH_004"	"Unidentified_sp7_A_PH_004"	"Ziziphus_obtusifolius"	"Calyophus_hartwegii"	"Gaura_coccinea"	"Gilia_rigida"	"Hoffmannseggia_glauca"	"Machaeranthera_scabrella"	"Setaria_leucopila"	"Unidentified_sp13_A_PH_004"	"Unidentified_sp15_A_PH_004"	"Unidentified_sp9_A_PH_004"	"Zinnia_grandiflora"	"Aristida_hamulosa"	"Bouteloua_curtipendula"	"Cryptantha_mexicana"	"Dyschoriste_linearis"	"Eupatorium_greggii"	"Oenothera_sp1_A_PH_004"	"Panicum_obtusum"	"Polygala_longa"	"Prosopis_glandulosa"	"Unidentified_sp10_A_PH_004"	"Unidentified_sp11_A_PH_004"	"Unidentified_sp12_A_PH_004"	"Unidentified_sp14_A_PH_004"	"Unidentified_sp16_A_PH_004"	"Unidentified_sp17_A_PH_004"	"Unidentified_sp2_A_PH_004"	"Verbena_wrightii"	"Xanthocephalum_sp1_A_PH_004"	"Dactylotum_variegatum"	"Melanoplus_desultorius"	"Melanoplus_gladstoni"	"Trimerotropis_pallidipennis"	"Melanoplus_lakinus"	"Melanoplus_glaucipes"	"Phoetaliotes_nebrascensis"	"Campylacantha_olivacea"	"Melanoplus_arizonae"	"Cordillacris_crenulata"	"Arphia_crassa"	"Boopedon_nubilum"	"Eritettix_variabilis"	"Leprus_cyaneus"	"Opeia_obscura"	"Psoloessa_texana"	"Trachyrachys_kiowa"	"Ageneotettix_deorum"	"Aulocara_femoratum"	"Philbostroma_quadrimaculatum"	"Syrbula_fuscovittata"	"Tropidolophus_formosus"
"Ratibida_columnaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.225	0	0	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp6_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0
"Unidentified_sp8_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.225	0	0	0.225	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0
"Condalia_ericoides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.3	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0
"Conyza_coulteri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eragrostis_intermedia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0
"Linum_rigidum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0
"Sporobolus_sp1_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0
"Unidentified_sp7_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0
"Ziziphus_obtusifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0.3	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0
"Calyophus_hartwegii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gaura_coccinea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gilia_rigida"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hoffmannseggia_glauca"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Machaeranthera_scabrella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Setaria_leucopila"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0.45	0	0	0	0	0
"Unidentified_sp13_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp15_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0.45	0
"Unidentified_sp9_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zinnia_grandiflora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aristida_hamulosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Bouteloua_curtipendula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cryptantha_mexicana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dyschoriste_linearis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eupatorium_greggii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oenothera_sp1_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Panicum_obtusum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polygala_longa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Prosopis_glandulosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp10_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp11_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp12_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp14_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp16_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp17_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0
"Verbena_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xanthocephalum_sp1_A_PH_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dactylotum_variegatum"	0.0409090909090909	0	0.0409090909090909	0	0.0409090909090909	0	0.0409090909090909	0.0409090909090909	0.0409090909090909	0	0.0409090909090909	0	0	0.0409090909090909	0	0.0409090909090909	0	0.0409090909090909	0.0409090909090909	0	0	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0	0.0409090909090909	0	0.0409090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanoplus_desultorius"	0.0642857142857143	0	0.0642857142857143	0	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0	0.0642857142857143	0	0	0	0	0.0642857142857143	0	0	0	0.0642857142857143	0	0	0	0.0642857142857143	0	0	0	0	0	0.0642857142857143	0.0642857142857143	0	0	0	0	0	0	0	0.0642857142857143	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanoplus_gladstoni"	0.0642857142857143	0	0.0642857142857143	0	0	0	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trimerotropis_pallidipennis"	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0	0	0	0	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0	0	0.0642857142857143	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanoplus_lakinus"	0.0692307692307692	0	0.0692307692307692	0	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0.0692307692307692	0	0.0692307692307692	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanoplus_glaucipes"	0.0818181818181818	0	0.0818181818181818	0	0	0	0	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0	0.0818181818181818	0	0	0	0.0818181818181818	0	0	0	0	0	0	0.0818181818181818	0	0	0.0818181818181818	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phoetaliotes_nebrascensis"	0.09	0.09	0.09	0	0.09	0	0.09	0	0.09	0	0	0	0.09	0	0	0	0	0	0	0.09	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Campylacantha_olivacea"	0	0	0	0	0.1	0	0.1	0	0.1	0	0.1	0	0	0	0.1	0	0.1	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanoplus_arizonae"	0	0.1125	0.1125	0	0.1125	0	0.1125	0.1125	0	0.1125	0.1125	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cordillacris_crenulata"	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0	0.128571428571429	0	0	0	0	0	0	0	0	0.128571428571429	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arphia_crassa"	0.15	0.15	0	0.15	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
