"Kunzea_muelleri"	"Aciphylla_glacialis"	"Hypochoeris_radicata"	"Orites_lancifolia"	"Prostanthera_cuneata"	"Craspedia_sp1_M_PL_019"	"Gentianella_diemensis"	"Wahlenbergia_ceracea"	"Microseris_lanceolata"	"Helichrysum_scorpioides"	"Baeckia_gunniana"	"Celmisia_longifolia"	"Epacris_petrophila"	"Oxylobium_ellipticum"	"Senecio_lautus"	"Euphrasia_collina"	"Helipterum_albicans"	"Senecio_gunnii"	"Achillea_millefolium"	"Richea_continentis"	"Leucopogon_montanus"	"Phebalium_ovatifolium"	"Helichrysum_alpinum"	"Brachycome_scapigera"	"Pentachondra_pumila"	"Pimelea_ligustrina"	"Prasophyllum_alpinum"	"Asperula_gunnii"	"Leptorhynchos_squamatus"	"Neopaxia_australasica"	"Olearia_phlogopappa"	"Epilobium_gunnianum"	"Brachycome_stolonifera"	"Epacris_microphylla"	"Senecio_pectinatus"	"Stylidium_graminifolium"	"Aciphylla_simplicifolia"	"Brachycome_scapiformis"	"Brachycome_sp1_M_PL_019"	"Stackhousia_pulvinaris"	"Leioproctus_sp1_M_PL_019"	"Incurviseta_sp1_M_PL_019"	"Unientified_sp1_M_PL_019"	"Lasioglossum_sp6_M_PL_019"	"Dilophus_sp1_M_PL_019"	"Exonera_sp1_M_PL_019"	"Calliphora_sp2_M_PL_019"	"Musca_vetustissima"	"Poecilohetaerus_sp1_M_PL_019"	"Comptosia_sylvana"	"Melangyna_sp1_M_PL_019"	"Pelecorhychus_rubidus"	"Tephritis_sp2_M_PL_019"	"Prosena_sp1_M_PL_019"	"Lasioglossum_sp8_M_PL_019"	"Tephritis_sp1_M_PL_019"	"Lasioglossum_sp1_M_PL_019"	"Coenosia_sp2_M_PL_019"	"Unidentified_sp1_M_PL_019"	"Empis_sp3_M_PL_019"	"Lasioglossum_sp2_M_PL_019"	"Senostoma_sp2_M_PL_019"	"Villa_sp1_M_PL_019"	"Alophera_sp1_M_PL_019"	"Calliphora_sp3_M_PL_019"	"Eristalis_tenax"	"Lasioglossum_sp9_M_PL_019"	"Leioproctus_sp2_M_PL_019"	"Unidentified_sp5_M_PL_019"	"Empis_sp5_M_PL_019"	"Sapromyza_sp1_M_PL_019"	"Apis_mellifera"	"Euryglossa_sp1_M_PL_019"	"Lasioglossum_sp3_M_PL_019"	"Lasioglossum_sp5_M_PL_019"	"Leioproctus_sp4_M_PL_019"	"Rivellia_sp1_M_PL_019"	"Scaptomyza_australis"	"Senostoma_sp3_M_PL_019"	"Tabanus_froggatti"	"Unidentified_sp8_M_PL_019"	"Unientified_sp2_M_PL_019"	"Unientified_sp3_M_PL_019"	"Calliphora_stygia"	"Coenosia_sp1_M_PL_019"	"Empis_sp4_M_PL_019"	"Euryglossa_sp2_M_PL_019"	"Helina_sp1_M_PL_019"	"Helina_sp2_M_PL_019"	"Hydrellia_sp1_M_PL_019"	"Lasioglossum_sp4_M_PL_019"	"Senostoma_sp1_M_PL_019"	"Unidentified_sp6_M_PL_019"	"Unidentified_sp7_M_PL_019"	"Calliphora_fulvicoxa"	"Calliphora_hilli"	"Calliphora_sp1_M_PL_019"	"Chaetophthalamus_dorsalis"	"Chloromerus_sp1_M_PL_019"	"Diostracus_sp1_M_PL_019"	"Empis_sp2_M_PL_019"	"Empis_sp6_M_PL_019"	"Euryglossa_sp3_M_PL_019"	"Hylaeus_semipersonatus"	"Hylaeus_sp1_M_PL_019"	"Hyphesma_sp1_M_PL_019"	"Incurviseta_sp2_M_PL_019"	"Lasioglossum_sp10_M_PL_019"	"Lasioglossum_sp11_M_PL_019"	"Lasioglossum_sp7_M_PL_019"	"Leioproctus_sp3_M_PL_019"	"Leioproctus_sp5_M_PL_019"	"Limnophora_sp1_M_PL_019"	"Megachile_sp1_M_PL_019"	"Phytoliriomyza_sp1_M_PL_019"	"Prohardya_carinata"	"Rutilia_sp1_M_PL_019"	"Scaptia_alpina"	"Sphenella_marginata"	"Syrphus_sp1_M_PL_019"	"Tapeigaster_nigricornis"	"Unidentified_sp2_M_PL_019"	"Unidentified_sp3_M_PL_019"	"Unidentified_sp4_M_PL_019"	"Unientified_sp4_M_PL_019"
"Baeckia_gunniana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225	0	0	0.0225	0	0.1125	0.225	0.0675	0	0	0	0	0	0	0	0	0.1575	0.045	0.0225	0	0	0	0	0	0	0	0	0.0225	0	0	0	0	0	0	0	0.045	0	0	0.0225	0.045	0	0	0	0	0	0	0	0.0225	0	0	0	0.0225	0	0	0	0	0	0	0	0	0	0	0	0.0225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225	0	0	0	0
"Celmisia_longifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.544736842105263	0.0236842105263158	0.0947368421052632	0	0.0473684210526316	0	0.142105263157895	0	0	0	0	0	0.0236842105263158	0.0236842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Epacris_petrophila"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243243243243243	0	0.0243243243243243	0.0972972972972973	0	0	0.413513513513514	0.145945945945946	0	0	0	0.0486486486486487	0	0	0	0	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0	0.0243243243243243	0	0	0	0	0	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243243243243243	0	0	0
"Oxylobium_ellipticum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072972972972973	0	0.267567567567568	0.291891891891892	0	0.0486486486486487	0	0	0	0	0	0.0243243243243243	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0486486486486487	0.0486486486486487	0	0	0	0	0	0	0	0	0	0	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243243243243243	0	0	0	0.0243243243243243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Senecio_lautus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.51	0	0	0	0.06	0.03	0	0.03	0	0.03	0	0	0.03	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0	0.03	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Euphrasia_collina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0.192857142857143	0.192857142857143	0	0	0	0	0.192857142857143	0	0	0	0	0	0	0	0.0321428571428571	0	0	0.0964285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0964285714285714	0.0321428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Helipterum_albicans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0.0375	0	0	0.3	0	0	0.0375	0	0.075	0	0	0	0	0	0.0375	0.1875	0	0	0	0	0	0.0375	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375	0	0	0	0	0	0	0.0375
"Senecio_gunnii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.814285714285714	0	0	0	0	0	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Achillea_millefolium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0.27	0	0	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Richea_continentis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568421052631579	0	0	0	0	0	0.142105263157895	0	0	0	0	0.142105263157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leucopogon_montanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0.128571428571429	0.0642857142857143	0	0	0.514285714285714	0.0642857142857143	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phebalium_ovatifolium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0	0.138461538461538	0	0	0	0.138461538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138461538461538	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Helichrysum_alpinum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0.6	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0	0	0
"Brachycome_scapigera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.409090909090909	0	0	0	0	0.0818181818181818	0	0	0	0.245454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0	0	0	0	0	0	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pentachondra_pumila"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.1125	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pimelea_ligustrina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3375	0	0	0	0	0	0.3375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Prasophyllum_alpinum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0.225	0	0.1125	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Asperula_gunnii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.771428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptorhynchos_squamatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopaxia_australasica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Olearia_phlogopappa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Epilobium_gunnianum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
